,heat,T,objective
247,5.0321586,20.0,
248,4.9303863,20.0,
249,4.9219721,20.0,
250,4.9038416,20.0,
251,4.9004688,20.0,
252,4.9883617,20.0,
253,5.0459613,20.0,
254,5.108707,20.0,
255,5.1551962,20.0,
256,5.1247445,20.0,
257,5.1555292,20.0,
258,5.1711237,20.0,
259,5.1603238,20.0,
260,5.1881451,20.0,
261,5.2268957,20.0,
262,5.2216634,20.0,
263,5.2139071,20.0,
264,5.2018982,20.0,
265,5.2035081,20.0,
266,5.2035024,20.0,
267,5.1958395,20.0,
268,5.1846161,20.0,
269,5.1656142,20.0,
270,5.1415605,20.0,
271,5.1170124,20.0,
272,5.1466143,20.0,
273,5.1621615,20.0,
274,5.1822804,20.0,
275,5.1821222,20.0,
276,5.1348392,20.0,
277,5.1210104,20.0,
278,5.1240125,20.0,
279,5.1107809,20.0,
280,5.1189447,20.0,
281,5.1234967,20.0,
282,5.129288,20.0,
283,5.1631937,20.0,
284,5.1546526,20.0,
285,5.1665444,20.0,
286,5.1772312,20.0,
287,5.163813,20.0,
288,5.1431641,20.0,
289,5.1614113,20.0,
290,5.1592351,20.0,
291,5.1585448,20.0,
292,5.1631627,20.0,
293,5.177901,20.0,
294,5.1782806,20.0,
295,5.1482874,20.0,
296,5.1336951,20.0,
297,5.1434313,20.0,
298,5.1735927,20.0,
299,5.190196,20.0,
300,5.1909856,20.0,
301,5.1996477,20.0,
302,5.2132702,20.0,
303,5.2456402,20.0,
304,5.2574584,20.0,
305,5.2619714,20.0,
306,5.2613387,20.0,
307,5.2628367,20.0,
308,5.2632623,20.0,
309,5.2674851,20.0,
310,5.2755883,20.0,
311,5.2881158,20.0,
312,5.3051967,20.0,
313,5.3091933,20.0,
314,5.313735,20.0,
315,5.3240712,20.0,
316,5.327178,20.0,
317,5.3255433,20.0,
318,5.3330145,20.0,
319,5.3420717,20.0,
320,5.3547633,20.0,
321,5.3617841,20.0,
322,5.3742734,20.0,
323,5.371208,20.0,
324,5.3853563,20.0,
325,5.3833378,20.0,
326,5.3583868,20.0,
327,5.3577732,20.0,
328,5.3759317,20.0,
329,5.3822551,20.0,
330,5.3843967,20.0,
331,5.3799924,20.0,
332,5.3890327,20.0,
333,5.4041627,20.0,
334,5.4458739,20.0,
335,5.4548067,20.0,
336,5.5292666,20.0,
337,5.5942056,20.0,
338,5.5796732,20.0,
339,5.5162124,20.0,
340,5.4756623,20.0,
341,5.4531348,20.0,
342,5.455112,20.0,
343,5.4590885,20.0,
344,5.4625919,20.0,
345,5.4625403,20.0,
346,5.46992,20.0,
347,5.4813169,20.0,
348,5.4573389,20.0,
349,5.4311805,20.0,
350,5.411817,20.0,
351,5.4257753,20.0,
352,5.4492755,20.0,
353,5.4720374,20.0,
354,5.4878329,20.0,
355,5.5029768,20.0,
356,5.5173253,20.0,
357,5.5272858,20.0,
358,5.5379456,20.0,
359,5.54042,20.0,
360,5.5576073,20.0,
361,5.5759778,20.0,
362,5.5914869,20.0,
363,5.5962098,20.0,
364,5.6018482,20.0,
365,5.6216201,20.0,
366,5.6321525,20.0,
367,5.642898,20.0,
368,5.6601436,20.0,
369,5.6854939,20.0,
370,5.6927844,20.0,
371,5.6886226,20.0,
372,5.6824294,20.0,
373,5.6776376,20.0,
374,5.6748919,20.0,
375,5.6811896,20.0,
376,5.688493,20.0,
377,5.6940561,20.0,
378,5.6993253,20.0,
379,5.7026183,20.0,
380,5.7029371,20.0,
381,5.7102642,20.0,
382,5.71951,20.0,
383,5.7260054,20.0,
384,5.7133343,20.0,
385,5.7139011,20.0,
386,5.7366073,20.0,
387,5.767717,20.0,
388,5.7828957,20.0,
389,5.8186479,20.0,
390,5.8463033,20.0,
391,5.8642434,20.0,
392,5.9001442,20.0,
393,5.9188514,20.0,
394,5.9278204,20.0,
395,5.9394972,20.0,
396,5.946395,20.0,
397,5.9492332,20.0,
398,5.9469733,20.0,
399,5.9488252,20.0,
400,5.9501415,20.0,
401,5.950306,20.0,
402,5.9519821,20.0,
403,5.9528219,20.0,
404,5.9492535,20.0,
405,5.9486435,20.0,
406,5.9509813,20.0,
407,5.9548001,20.0,
408,5.9589493,20.0,
409,5.9503232,20.0,
410,5.9574731,20.0,
411,5.965693,20.0,
412,5.9731413,20.0,
413,5.9787609,20.0,
414,5.9914896,20.0,
415,5.9947834,20.0,
416,5.9989606,20.0,
417,5.9985141,20.0,
418,6.0003892,20.0,
419,5.997189,20.0,
420,5.9863693,20.0,
421,5.978773,20.0,
422,5.9757085,20.0,
423,5.9873556,20.0,
424,5.9956676,20.0,
425,6.0048615,20.0,
426,6.0200526,20.0,
427,6.0452965,20.0,
428,6.0612669,20.0,
429,6.0731868,20.0,
430,6.0913527,20.0,
431,6.1133093,20.0,
432,6.1341774,20.0,
433,6.15148,20.0,
434,6.1607003,20.0,
435,6.1785507,20.0,
436,6.1884921,20.0,
437,6.1933285,20.0,
438,6.1922319,20.0,
439,6.1854037,20.0,
440,6.1748678,20.0,
441,6.161189,20.0,
442,6.1557954,20.0,
443,6.1719618,20.0,
444,6.1899517,20.0,
445,6.1970304,20.0,
446,6.1939421,20.0,
447,6.1914641,20.0,
448,6.1888554,20.0,
449,6.1855615,20.0,
450,6.1757755,20.0,
451,6.1705266,20.0,
452,6.1632435,20.0,
453,6.1587021,20.0,
454,6.1536154,20.0,
455,6.1531205,20.0,
456,6.1548871,20.0,
457,6.1567037,20.0,
458,6.1596104,20.0,
459,6.1576121,20.0,
460,6.1586335,20.0,
461,6.1607004,20.0,
462,6.1658577,20.0,
463,6.1923071,20.0,
464,6.2159216,20.0,
465,6.2226421,20.0,
466,6.2171359,20.0,
467,6.211381,20.0,
468,6.2066587,20.0,
469,6.2064395,20.0,
470,6.2041154,20.0,
471,6.2046604,20.0,
472,6.2012087,20.0,
473,6.1934597,20.0,
474,6.1850404,20.0,
475,6.1815887,20.0,
476,6.183111,20.0,
477,6.1834054,20.0,
478,6.1804987,20.0,
479,6.1815324,20.0,
480,6.1770472,20.0,
481,6.1743224,20.0,
482,6.187496,20.0,
483,6.1994606,20.0,
484,6.2132027,20.0,
485,6.2140243,20.0,
486,6.2115129,20.0,
487,6.2112999,20.0,
488,6.2116631,20.0,
489,6.2088885,20.0,
490,6.2064169,20.0,
491,6.2019124,20.0,
492,6.1901978,20.0,
493,6.1801472,20.0,
494,6.1723213,20.0,
495,6.1706919,20.0,
496,6.1627105,20.0,
497,6.1515317,20.0,
498,6.1373383,20.0,
499,6.1244925,20.0,
500,6.1191317,20.0,
501,6.1057045,20.0,
502,6.0929604,20.0,
503,6.0870632,20.0,
504,6.0813579,20.0,
505,6.076571,20.0,
506,6.071967,20.0,
507,6.0672772,20.0,
508,6.0583726,20.0,
509,6.0565761,20.0,
510,6.0558818,20.0,
511,6.0432086,20.0,
512,6.0201247,20.0,
513,5.9767455,20.0,
514,5.9663048,20.0,
515,5.9625805,20.0,
516,5.9571859,20.0,
517,5.9483691,20.0,
518,5.8969679,20.0,
519,5.8738871,20.0,
520,5.8359342,20.0,
521,5.7866382,20.0,
522,5.7567786,20.0,
523,5.7517203,20.0,
524,5.7368225,20.0,
525,5.748396,20.0,
526,5.7250059,20.0,
