"t";"Ta";"Ps";"Ph";"yTi"
64.1666666666667;1.247235;-0.00346961857142857;0.0446666666666667;20.4684048719426
64.25;1.22489;-0.00313019678571429;0.046;20.3446764925806
64.3333333333333;1.19764;-0.00214965321428571;0.0433333333333333;20.2276124681237
64.4166666666667;1.19328;-0.00150852857142857;0.0446666666666667;20.1100654166313
64.5;1.1713675862069;0.0014200975862069;0.0426666666666667;20.0012756942477
64.5833333333333;1.13388428571429;0.00279078035714286;0.0453333333333333;19.9001920392929
64.6666666666667;1.130615;0.00618497714285714;0.0393333333333333;19.7961235603887
64.75;1.13987642857143;0.00663753571428571;0.0406666666666667;19.6981642277086
64.8333333333333;1.14506206896552;0.00761027655172414;0.044;19.6000047211354
64.9166666666667;1.106635;0.0110499857142857;0.0433333333333333;19.5041275205010
65;1.03197035714286;0.0145573392857143;0.042;19.4149338710641
65.0833333333333;1.01017428571429;0.0214588607142857;0.0433333333333333;19.3189071762843
65.1666666666667;1.03561586206897;0.0235955;0.044;19.2291735268497
65.25;1.080475;0.0321693892857143;0.0433333333333333;19.140563600625
65.3333333333333;1.107725;0.0339419357142857;0.0453333333333333;19.0586870578957
65.4166666666667;1.08876275862069;0.0406730931034483;0.044;18.9735866010533
65.5;1.12353;0.0460856107142857;0.046;18.8918430439062
65.5833333333333;1.090285;0.057022475;0.0453333333333333;18.8152998454631
65.6666666666667;1.0832;0.0594738357142857;0.0433333333333333;18.7424810702010
65.75;1.06560965517241;0.0510143413793103;0.042;18.6599585919152
65.8333333333333;0.976932535714286;0.0346207892857143;0.042;18.5860734435488
65.9166666666667;0.91753242857143;0.0458216178571429;0.0393333333333333;18.5086747305033
66;0.931438413793103;0.0563670206896552;0.0453333333333333;18.4390660809036
66.0833333333333;0.976388392857143;0.103636035714286;0.044;18.3962564707080
66.1666666666667;1.07175571428571;0.139991714285714;4.768;18.3681770550836
66.25;1.31535071428571;0.200182142857143;5.176;18.4253717672758
66.3333333333333;1.48969931034483;0.102866182758621;5.148;18.6040875604367
66.4166666666667;1.37202857142857;0.1115935;5.142;18.8153843323640
66.5;1.40962892857143;0.115855203571429;5.12;19.037825250675
66.5833333333333;1.50717535714286;0.115968246428571;5.05066666666667;19.2583091877787
66.6666666666667;1.56651862068966;0.111933020689655;5.022;19.4830274331631
66.75;1.75731142857143;0.204669892857143;4.99;19.7136901747992
66.8333333333333;1.99709464285714;0.205047107142857;4.98666666666667;19.9871942960045
66.9166666666667;2.09137;0.221716285714286;5.04333333333333;20.2704545980663
67;2.23850928571429;0.24770075;5.05133333333333;20.5588620886740
67.0833333333333;2.19109642857143;0.148929535714286;5.04866666666667;20.7807417832495
67.1666666666667;2.12079714285714;0.14678;5.04;20.9191422028704
67.25;2.19818;0.142480571428571;5.04066666666667;21.0341353997884
67.3333333333333;2.19633827586207;0.126498344827586;5.12066666666667;21.126964836895
67.4166666666667;2.193275;0.117816428571429;5.13533333333333;21.2151891315794
67.5;2.17365571428571;0.115327285714286;5.12133333333333;21.2880178264932
67.5833333333333;2.15948964285714;0.102995;5.14266666666667;21.3599508545017
67.6666666666667;2.1737124137931;0.0560029172413793;5.10666666666667;21.4118706015400
67.75;2.13442464285714;0.0616989035714286;5.096;21.4529290066333
67.8333333333333;2.1442325;0.0798767107142857;5.10533333333333;21.4923959518948
67.9166666666667;2.15131571428571;0.0768219214285714;5.10066666666667;21.5430177702378
68;2.11862;0.0672050535714286;5.10666666666667;21.5749302882619
68.0833333333333;2.10336;0.0487255428571429;5.1;21.6120092867662
68.1666666666667;2.06521;0.0416354392857143;5.09933333333333;21.6485812494806
68.25;2.07900413793103;0.0563306206896552;5.09933333333333;21.6963516455979
68.3333333333333;2.08374;0.081611525;5.10133333333333;21.7463648051791
68.4166666666667;2.10227;0.0810080714285714;5.11;21.7988750992623
68.5;2.13169964285714;0.095603075;5.11133333333333;21.8421741171316
68.5833333333333;2.15022571428571;0.0918317964285714;5.05733333333333;21.8981051240445
68.6666666666667;2.16820607142857;0.090624957142857;5.04866666666667;21.9545162715304
68.75;2.16108517241379;0.0742457275862069;5.04266666666667;22.0027318337194
68.8333333333333;2.11698357142857;0.0808949714285714;5.05;22.0420617079253
68.9166666666667;2.0881;0.0823657892857143;5.03733333333333;22.081877208944
69;1.97147714285714;0.0803669642857143;5.04733333333333;22.1237224631028
69.0833333333333;1.97584;0.102165246428571;5.04066666666667;22.1641057516637
69.1666666666667;1.92788321428571;0.0833086107142857;5.04666666666667;22.2113632303478
69.25;1.90445035714286;0.168088107142857;5.056;22.2662801092995
69.3333333333333;2.05812821428571;0.159338571428571;5.022;22.344838731422
69.4166666666667;2.15295035714286;0.158923785714286;5.084;22.4316344836452
69.5;2.36439321428571;0.241817464285714;5.13266666666667;22.5684978518351
69.5833333333333;2.64232071428571;0.271497857142857;5.16333333333333;22.7749507033188
69.6666666666667;2.71479821428571;0.324107821428571;0.506666666666667;22.9421653304804
69.75;2.91534321428571;0.24019585;0.0393333333333333;23.1018896457508
69.8333333333333;2.53714392857143;0.0650930964285714;0.0413333333333333;23.016872213542
69.9166666666667;2.40363071428571;0.202671042857143;0.04;22.8476276365138
70;2.58570103448276;0.1586141;0.0446666666666667;22.7392356818310
70.0833333333333;2.690275;0.181212239285714;0.044;22.6185272149203
70.1666666666667;2.92133892857143;0.297029714285714;0.04;22.6065457317964
70.25;3.19926785714286;0.277456392857143;0.0406666666666667;22.6675789357744
70.3333333333333;2.97692357142857;0.157075789285714;0.0406666666666667;22.6546695868663
70.4166666666667;3.03523535714286;0.251283285714286;0.042;22.6343576684565
70.5;3.16553551724138;0.240688689655172;0.0453333333333333;22.6805289888528
70.5833333333333;3.33768535714286;0.233445428571429;0.0473333333333333;22.7171201707152
70.6666666666667;3.27447142857143;0.209346414285714;0.0453333333333333;22.7349379264929
70.75;3.29626714285714;0.222508285714286;0.0393333333333333;22.7511756828251
70.8333333333333;3.30171714285714;0.214814571428571;0.0433333333333333;22.7735105821109
70.9166666666667;3.26684285714286;0.208365428571429;0.044;22.7806889284119
71;3.32188107142857;0.20150225;0.04;22.7838569148793
71.0833333333333;3.37365357142857;0.195015607142857;0.0433333333333333;22.7850188940258
71.1666666666667;3.17801392857143;0.108048578571429;0.042;22.7416805162949
71.25;2.98727892857143;0.195807535714286;0.0386666666666667;22.6516817318511
71.3333333333333;3.21997607142857;0.165184178571429;0.0413333333333333;22.6210915836102
71.4166666666667;3.08210071428571;0.138105767857143;0.0406666666666667;22.5611881227226
71.5;3.03251142857143;0.15602;0.042;22.4972352446712
71.5833333333333;3.05135862068966;0.121181910344828;0.042;22.4541073320038
71.6666666666667;2.92133857142857;0.098318407142857;0.0413333333333333;22.369497500888
71.75;2.89463678571429;0.117665189285714;0.038;22.2895622044297
71.8333333333333;3.0641175;0.127470821428571;0.04;22.2488281027819
71.9166666666667;3.21341896551724;0.109784782758621;0.042;22.2171693733430
72;3.19490928571429;0.087343892857143;0.0393333333333333;22.1581884015945
72.0833333333333;3.07610571428571;0.0820640785714286;0.04;22.0896635554477
72.1666666666667;2.95403714285714;0.0710518035714286;0.0433333333333333;22.0146664412629
72.25;2.86084857142857;0.0814606714285714;0.0406666666666667;21.9135011670727
72.3333333333333;2.96875;0.0863633892857143;0.0413333333333333;21.8412656008873
72.4166666666667;2.91697714285714;0.047971275;0.0406666666666667;21.7610034485632
72.5;2.77256607142857;0.03284825;0.042;21.6441722640575
72.5833333333333;2.65989206896552;0.0267634206896552;0.0386666666666667;21.5223517242495
72.6666666666667;2.617255;0.0187812071428571;0.0426666666666667;21.3889273459302
72.75;2.59273035714286;0.0610200678571429;0.0406666666666667;21.2555395424617
72.8333333333333;2.42815035714286;0.0836857392857143;0.0393333333333333;21.1352119336307
72.9166666666667;2.43578;0.0356013178571429;0.0466666666666667;21.0180018698337
73;2.33314137931034;0.0216292034482759;0.0446666666666667;20.8861213087337
73.0833333333333;2.13387607142857;0.0156133071428571;0.0446666666666667;20.7625218651700
73.1666666666667;1.97057041666667;0.0133756458333333;4.822;20.6447676400644
73.25;1.85049678571429;0.0113894142857143;5.18733333333333;20.6014941285288
73.3333333333333;1.81802551724138;0.0085205951724138;5.17266666666667;20.6744655719441
73.4166666666667;1.766575;0.00565699214285714;5.16733333333333;20.8111903188354
73.5;1.649955;0.00350733285714286;5.17133333333333;20.9621872062480
73.5833333333333;1.524615;0.00241364571428571;5.152;21.1134946238873
73.6666666666667;1.44497482758621;0.0024760675862069;5.14533333333333;21.2580695386757
73.75;1.58347142857143;0.00109368321428571;5.09733333333333;21.3938503455856
73.8333333333333;1.57475;3.77132142857143e-05;5.09666666666667;21.5062327464396
73.9166666666667;1.44505035714286;-0.000754264285714286;5.074;21.6002840410009
74;1.37815586206897;-0.00211194;5.052;21.6969245688165
74.0833333333333;1.336605;-0.00211194;5.04733333333333;21.7713355955075
74.1666666666667;1.27284428571429;-0.00211194;5.05133333333333;21.8310549114601
74.25;1.204725;-0.00214965321428571;5.10933333333333;21.8814575589967
74.3333333333333;1.14423357142857;-0.00211194;5.1;21.9287173721859
74.4166666666667;1.03742167857143;-0.00211194;5.102;21.9764729931171
74.5;0.966690896551724;-0.00211194;5.09266666666667;22.0270111584372
74.5833333333333;0.90663357142857;-0.00282849428571429;5.07266666666667;22.0668993225255
74.6666666666667;0.915352857142857;-0.00422389;5.094;22.1134419459805
74.75;1.00254464285714;-0.00422389;5.19266666666667;22.1485568796617
74.8333333333333;0.845674;-0.00422389;5.216;22.1774697269447
74.9166666666667;0.572030071428571;-0.00422389;5.236;22.2023788795771
75;0.542057571428571;-0.00422389;5.23666666666667;22.2325462272394
75.0833333333333;0.379660428571429;-0.00422389;5.22933333333333;22.2645605587845
75.1666666666667;0.25479024137931;-0.00422389;5.228;22.2935414825706
75.25;0.199824464285714;-0.00422389;5.24066666666667;22.3274170448937
75.3333333333333;0.190015392857143;-0.00422389;5.13933333333333;22.3619535905118
75.4166666666667;0.180206285714286;-0.00422389;5.09266666666667;22.4068261295699
75.5;0.153766586206897;-0.00422389;5.092;22.4471788729415
75.5833333333333;0.0848388642857143;-0.00422389;5.08266666666667;22.4825099485423
75.6666666666667;0.0134495271428571;-0.00422389;5.08266666666667;22.5202082647221
75.75;0.072737124137931;-0.00422389;5.09866666666667;22.5598883447957
75.8333333333333;0.101187471428571;-0.00422389;5.102;22.5919918371065
75.9166666666667;0.106092128571429;-0.00422389;5.10466666666667;22.6266759598721
76;0.146926396551724;-0.00422389;5.122;22.6505377943548
76.0833333333333;0.15677325;-0.00422389;5.14;22.6730817706713
76.1666666666667;0.192195428571429;-0.00422389;5.13933333333333;22.6946863948000
76.25;0.28865275;-0.00422389;5.14733333333333;22.7061686288967
76.3333333333333;0.313194689655172;-0.00422389;5.17333333333333;22.7164192594122
76.4166666666667;0.33933375;-0.00422389;5.184;22.7192134088889
76.5;0.388924785714286;-0.00422389;5.18066666666667;22.715938217731
76.5833333333333;0.402642482758621;-0.00422389;5.17733333333333;22.708562844997
76.6666666666667;0.425436607142857;-0.00422389;0.571333333333333;22.6943106871562
76.75;0.540422678571429;-0.00422389;0.04;22.5914847608976
76.8333333333333;0.563855964285714;-0.00422389;0.044;22.3847097638578
76.9166666666667;0.639604642857143;-0.00422389;0.0433333333333333;22.1258469225120
77;0.671513;-0.00422389;0.042;21.8649822974368
77.0833333333333;0.643419428571429;-0.00422389;0.0406666666666667;21.6081577120557
77.1666666666667;0.698460142857143;-0.00422389;0.0453333333333333;21.3572068084956
77.25;0.754046071428571;-0.00422389;0.0426666666666667;21.1256987352084
77.3333333333333;0.738787142857143;-0.00422389;0.046;20.9079264133952
77.4166666666667;0.770394357142857;-0.00422389;0.046;20.6977593244673
77.5;0.824100931034483;-0.00422389;0.0466666666666667;20.5008245336032
77.5833333333333;0.847233464285714;-0.00422389;0.0446666666666667;20.3132557440358
77.6666666666667;0.79219257142857;-0.00422389;0.0433333333333333;20.1376445101551
77.75;0.766579892857143;-0.00422389;0.042;19.9691347795296
77.8333333333333;0.801457035714286;-0.00422389;0.0393333333333333;19.8121017670125
77.9166666666667;0.78292842857143;-0.00422389;0.0493333333333333;19.6593057499231
78;0.871455896551724;-0.00422389;0.0406666666666667;19.5131926741674
78.0833333333333;0.912083214285714;-0.00422389;0.0426666666666667;19.3765842820309
78.1666666666667;0.95731482142857;-0.00422389;0.0466666666666667;19.2450311826549
78.25;0.9469605;-0.00422389;0.04;19.1200433370037
78.3333333333333;0.98728675;-0.00422389;0.0426666666666667;18.9982196508729
78.4166666666667;1.00299796551724;-0.00422389;0.0466666666666667;18.8828374303703
78.5;0.992193464285714;-0.00422389;0.046;18.7766736158961
78.5833333333333;1.02870107142857;-0.00422389;0.0406666666666667;18.6622815652813
78.6666666666667;1.01126321428571;-0.00422389;0.0386666666666667;18.5632799580619
78.75;0.997736655172414;-0.00422389;0.0453333333333333;18.4581668367594
78.8333333333333;1.03742035714286;-0.00422389;0.0373333333333333;18.3601091330368
